ID,Class,Top5 평균 유사도
TRAIN_000,B,0.8400000000000001
TRAIN_001,C,0.76
TRAIN_002,B,0.6666666666666666
TRAIN_003,A,0.9066666666666666
TRAIN_004,C,0.76
TRAIN_005,B,0.8266666666666665
TRAIN_006,B,0.8400000000000001
TRAIN_007,B,0.6933333333333332
TRAIN_008,B,0.7866666666666667
TRAIN_009,C,0.76
TRAIN_010,B,0.8400000000000001
TRAIN_011,B,0.8
TRAIN_012,C,0.8133333333333332
TRAIN_013,C,0.6799999999999999
TRAIN_014,B,0.76
TRAIN_015,A,0.8666666666666668
TRAIN_016,A,0.8533333333333333
TRAIN_017,A,0.7466666666666666
TRAIN_018,A,0.8933333333333333
TRAIN_019,C,0.7733333333333333
TRAIN_020,B,0.8
TRAIN_021,B,0.8133333333333332
TRAIN_022,A,0.8933333333333333
TRAIN_023,B,0.7866666666666667
TRAIN_024,C,0.8
TRAIN_025,B,0.8133333333333332
TRAIN_026,B,0.7866666666666667
TRAIN_027,B,0.7466666666666667
TRAIN_028,B,0.8266666666666665
TRAIN_029,A,0.8666666666666668
TRAIN_030,B,0.76
TRAIN_031,A,0.7866666666666667
TRAIN_032,B,0.8533333333333333
TRAIN_033,B,0.7066666666666666
TRAIN_034,A,0.7333333333333333
TRAIN_035,C,0.7733333333333334
TRAIN_036,B,0.76
TRAIN_037,A,0.8533333333333333
TRAIN_038,B,0.7466666666666667
TRAIN_039,B,0.7866666666666667
TRAIN_040,B,0.8266666666666665
TRAIN_041,B,0.8533333333333333
TRAIN_042,B,0.7466666666666667
TRAIN_043,A,0.7866666666666667
TRAIN_044,C,0.7466666666666667
TRAIN_045,B,0.76
TRAIN_046,B,0.7466666666666667
TRAIN_047,A,0.8
TRAIN_048,C,0.7466666666666667
TRAIN_049,A,0.8666666666666668
TRAIN_050,A,0.7466666666666667
TRAIN_051,C,0.8133333333333332
TRAIN_052,A,0.8933333333333333
TRAIN_053,C,0.7333333333333333
TRAIN_054,B,0.7733333333333333
TRAIN_055,B,0.8266666666666668
